definition,preferred_spelling,phonetic_spelling,alt_phon_spell,kanji_spelling,word_class_code,conjugation_kind_code,transitivity,jlpt_level,lesson_codes,tags,id,row_num,date_added
...people,〜人,〜じん,,〜人,SUFFIX,,,1,{GENKI3_L01},{person},0ef6972f-5e7d-5b51-be7f-8f39a5fd5e0e,33,2022-04-24
of course,もちろん,もちろん,,勿論,ADVERB,,,3,"{DUO_02_03,DUO_U07,GENKI3_L07}",,146b7705-d9cd-511f-988c-5b2cc7661b75,34,2022-04-24
office; company,会社,かいしゃ,,会社,NOUN,,,5,"{DUO_02_03,DUO_U07,GENKI3_L07}",{place},8bedfb60-1599-58b0-9568-5e72b8cf6b7e,35,2022-04-24
school,学校,がっこう,,学校,NOUN,,,5,"{DUO_02_03,DUO_U07}","{place,school}",25f93b07-dc04-553a-8794-329cc907dbe5,36,2022-04-24
elementary school,小学,しょうがく,,小学,NOUN,,,,"{DUO_02_05,DUO_U08}","{place,school}",37eba762-70cf-5c5c-b689-621f26c1ee5f,37,2022-04-24
middle school,中学,ちゅうがく,,中学,NOUN,,,3,"{DUO_02_05,DUO_U08}","{place,school}",99cdf9f9-df8c-5d7a-9ea1-a7c003c9f289,38,2022-04-24
foreigner,外国人,がいこくじん,,外国人,NOUN,,,5,"{DUO_02_05,DUO_U08,GENKI3_L15}",{person},947e6f87-e4fe-5b27-9bd3-215e8b1fc71a,39,2022-04-24
to live; to reside; to inhabit,住む,すむ,,住む,VERB,GODAN_VERB,,5,"{DUO_02_05,DUO_U08,GENKI3_L07}",,dd191fac-e29b-5262-b2a6-f9f2875a4a3f,40,2022-04-24
Kyoto,京都,きょうと,,京都,PROPER_NOUN,,,,"{DUO_02_05,DUO_U08,GENKI3_L03}","{city,place}",fc82f2ac-3b17-582f-9259-7200e1430824,41,2022-04-24
Osaka,大阪,おおさか,,大阪,PROPER_NOUN,,,,"{DUO_02_05,DUO_U08}","{city,place}",15c5fee6-dda7-5d40-b7fd-382d97a28b9c,42,2022-04-24
Tokyo,東京,とおきょう,,東京,PROPER_NOUN,,,,"{DUO_02_05,DUO_U08}","{city,place}",39458010-a5eb-5b13-b054-4cc458702c56,43,2022-04-24
to say; to be called; name,申す,もうす,,申す,VERB,GODAN_VERB,,4,"{DUO_02_05,DUO_U08}",,091d6d9c-5d19-51f5-bc28-3b5281042464,44,2022-04-24
"to differ, to disagree; to be wrong",違う,ちがう,,違う,VERB,GODAN_VERB,,5,,,b7d078d1-235f-4462-b052-453aa5f6dfcf,45,2022-08-10
That is not right (this is wrong),違います,ちがいます,,違います,EXPRESSION,,,,"{DUO_02_05,DUO_U08}",,6e44df4a-4366-5c1a-86af-87a4e5f61fc6,46,2022-04-24
What is the difference?,違いは何ですか,ちがいはなんですか,,違いは何ですか,EXPRESSION,,,,"{DUO_02_05,DUO_U08}",,7748dd60-2126-5e30-a5b6-39596a0e25e4,47,2022-04-24
Now,今,いま,,今,NOUN,,,5,"{DUO_02_02,DUO_U06,GENKI3_L01}",{time},dce3fe6a-497c-54b2-a121-df6767084258,48,2022-04-24
A.M.,午前,ごぜん,,午前,NOUN,,,5,"{DUO_02_03,DUO_U07,GENKI3_L01}",{time},42ffdbae-c27d-53a4-b113-95583953e16c,49,2022-04-24
P.M.,午後,ごご,,午後,NOUN,,,5,"{DUO_02_03,DUO_U07,GENKI3_L01}",{time},94611381-0488-58aa-8cf2-12ad9ff4e2dd,50,2022-04-24
...o'clock,〜時,〜じ,,〜時,SUFFIX,,,,"{DUO_02_02,DUO_U06,GENKI3_L01}",{time},40502e18-b4ba-50b4-89b7-23fd3b4d4a21,51,2022-04-24
half; half-past,半,はん,,半,NOUN,,,5,"{DUO_02_02,DUO_U06,GENKI3_L01}",{time},5372b023-b803-551c-9a7f-f404804f63f1,52,2022-04-24
"minute, arcminutes",〜分,〜ふん,〜ぷん,〜分,SUFFIX,,,1,"{DUO_02_02,DUO_U06}",{time},2cf1d32f-b261-5ba6-829c-a9f1237a88d6,53,2022-04-24
"part, portion, share",分,ぶん,,分,NOUN,,,3,,,db9793c1-8b7c-481c-bc77-6d36eb4afb30,54,2022-08-09
approximately at time,〜ごろ,〜ごろ,,〜頃,NOUN,,,3,"{DUO_02_03,DUO_U07}",{time},a39e794c-9682-5cd5-9c5e-dd961aa92bc5,55,2022-04-24
exactly,ちょうど,ちょうど,,丁度,NOUN,,,5,"{DUO_02_02,DUO_U06,GENKI3_L14}",{time},9e67a677-9058-536e-85d6-389ea5138c86,56,2022-04-24
zero,零,れい,,零,NOUN,,,5,"{DUO_02_03,DUO_U07}","{number,time}",252852aa-aefd-504b-b671-668a33020492,57,2022-04-24
Japan,日本,にほん,,日本,PROPER_NOUN,,,3,{GENKI3_L01},"{country,place}",cc6a4913-6f39-521b-a0cf-9631f640800e,58,2022-04-24
America,アメリカ,あめりか,,,PROPER_NOUN,,,4,{GENKI3_L01},"{country,place}",522e0796-297d-5bf2-be85-e93596baa6bf,59,2022-04-24
...language,〜語,〜ご,,〜語,SUFFIX,,,3,{GENKI3_L01},,a420a37b-593e-572e-aae7-d724eca6803d,60,2022-04-24
