#columns: id,definition,preferred_spelling,phonetic_spelling,alt_spelling,word_class,conjugation_kind,jlpt_level,date_added,row_num,lessons,tags
cad48907-4908-5de4-8ee7-0c78c98ab755,disgusted with; to dislike,嫌い,きらい,,adjective,na adjective,5,2022-09-07,458,GENKI3_L05,adjective na-adjective genki3-l05
f12880cb-86c7-5720-8773-a1cdfbe838f7,very fond of; to love,大好き,だいすき,,adjective,na adjective,5,2022-09-07,459,GENKI3_L05,adjective na-adjective genki3-l05
f610a74c-6229-5d19-b214-c183c4a1d92b,to hate,大嫌い,だいきらい,,adjective,na adjective,,2022-09-07,460,GENKI3_L05,adjective na-adjective genki3-l05
8218a74b-27ab-5310-80f8-8cca81609f73,beautiful; clean,きれい,きれい,,adjective,na adjective,5,2022-09-07,461,GENKI3_L05,adjective na-adjective genki3-l05
489610bc-c907-5de6-a0e7-acbeba740f3d,quiet,静か,しずか,,adjective,na adjective,5,2022-09-07,462,GENKI3_L05,adjective na-adjective genki3-l05
96e3bcd4-e542-5d84-8576-c33f94149bc8,lively,にぎやか,にぎやか,,adjective,na adjective,5,2022-09-07,463,GENKI3_L05,adjective na-adjective genki3-l05
585dccbc-01ad-5691-95c0-a5d402db619d,not busy; free (time),暇,ひま,,adjective,na adjective,5,2022-09-07,464,GENKI3_L05,adjective na-adjective genki3-l05
4ae77db0-2b66-543a-8d78-8e51c4cb0676,to swim,泳ぐ,およぐ,,verb,godan verb,5,2022-09-07,465,GENKI3_L05,verb godan-verb genki3-l05
2bcd828d-02d9-5834-8e4e-2a9fdecb800f,to ride; to board,乗る,のる,,verb,godan verb,5,2022-09-07,466,GENKI3_L05,verb godan-verb genki3-l05
43056e9d-b789-5d3b-ae22-ccd5feca4e1a,to do; to perform; to play (a game),やる,やる,,verb,godan verb,1,2022-09-07,467,GENKI3_L05,verb godan-verb genki3-l05
87f65ff6-cc11-5ed3-ae0f-91cd20cf2c32,to go out,出かける,でかける,,verb,ichidan verb,5,2022-09-07,468,GENKI3_L05,verb ichidan-verb genki3-l05
6debd947-e8ba-512e-8457-8bf0e7ea9e5b,exit,出口,でくち,,noun,,5,2022-09-07,469,,noun
3121a086-d388-5e2d-87ea-42928a70bdb2,together (with); at the same time;,一緒に,いっしょに,,adverb,,,2022-09-07,470,GENKI3_L05,adverb genki3-l05
0dbac8fa-7de5-557b-a950-da804909a322,extremely,すごく,すごく,凄く,adverb,,,2022-09-07,471,GENKI3_L05,adverb genki3-l05
49100de9-fba3-596c-a2d2-d7d268716d82,very,とても,とても,,adverb,,5,2022-09-07,472,GENKI3_L05,adverb genki3-l05
a7e30acf-baa9-5c69-b41d-b344f631a8a6,what kind of...,どんな,どんな,,pre noun adjectival,,3,2022-09-07,473,GENKI3_L05,pre-noun-adjectival genki3-l05
acbf41df-4c3c-58fe-b99e-30d088bafb4f,counter for flat objects,〜枚,〜まい,,counter,,1,2022-09-07,474,GENKI3_L05,counter genki3-l05
9602b36a-fef2-58f6-a53a-84283766c73d,tsunami,津波,つなみ,,noun,,1,2022-09-17,475,,noun
18483a29-02d3-5d72-be2f-2e865c5689a1,typhoon,台風,たいふう,,noun,,4,2022-09-17,476,,noun
932265f2-4f7c-5f7d-b31d-cb211276ae8d,earthquake,地震,じしん,,noun,,4,2022-09-17,477,,noun
